gene_id	E04C01	E04C02	E04C03	E04C04	E04C05	E04C06	E04C07	E04C08	E04C09	E04C10	E04C11	E04C12
PUSL1	632	637	634	570	574	391	722	650	715	632	639	642
INTS11	1927	2223	1962	1760	1811	1117	2343	2053	2307	1960	1828	1830
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0
CPTP	902	914	873	905	868	430	1006	799	958	901	899	951
TAS1R3	11	9	10	7	9	3	12	26	10	11	21	11
DVL1	2457	2346	2380	2090	2123	1195	2528	2138	2226	2278	2201	2334
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	832	978	1134	704	791	548	942	889	1057	717	774	871
AURKAIP1	3187	3166	3129	2642	2859	1628	3671	2954	3864	2925	3050	3312
CCNL2	4811	6489	6093	4945	5181	3693	6294	5617	5967	5142	4626	4848
MRPL20-AS1	732	772	762	601	598	419	825	600	702	615	623	614
MRPL20	871	930	947	774	898	557	973	858	1147	895	810	877
MRPL20-DT	186	227	218	179	180	92	120	116	154	119	98	105
ANKRD65	41	43	46	25	19	27	27	31	28	36	26	35
ANKRD65-AS1	7	6	6	12	3	3	11	3	12	0	2	8
TMEM88B	76	59	86	58	70	64	102	90	105	61	44	77
LINC01770	42	24	29	18	16	17	32	53	44	23	43	35
LOC107985729	11	11	11	10	15	4	12	6	1	4	6	5
VWA1	3097	3180	2994	2770	2793	1646	3359	3077	3233	2920	3058	3382
ATAD3C	18	34	25	19	16	11	22	28	43	26	14	31
ATAD3B	1203	1444	1271	1133	1093	724	1433	1407	1530	1168	1062	1327
ATAD3A	1454	1544	1418	1294	1242	724	1692	1592	1657	1360	1331	1319
TMEM240	13	6	20	2	9	7	16	18	9	14	13	9
SSU72	2051	2184	1988	1914	2157	1398	2544	2108	2668	2095	1945	2166
FNDC10	196	264	323	189	163	150	284	285	323	229	157	228
LOC105378586	9	5	5	4	2	2	7	3	4	12	5	0
MIB2	433	548	541	385	403	272	512	536	362	466	430	553
LOC124903821	51	99	61	64	51	41	74	60	39	59	45	38
MMP23B	0	10	8	7	7	6	9	14	9	7	7	14
CDK11B	1310	1319	1234	1064	1157	771	1528	1267	1225	1225	1074	1151
SLC35E2B	1116	1113	1127	976	1092	664	1198	1105	761	999	1006	1011
MMP23A	5	4	0	3	5	4	4	2	2	4	2	6
CDK11A	964	1122	1176	860	1001	689	1235	1118	1261	1075	973	1154
SLC35E2A	1315	1403	1466	1228	1344	933	1543	1520	1271	1250	1163	1240
LOC112268218	1	5	0	0	0	0	2	3	0	4	1	0
NADK	1815	2111	2109	1597	1806	1114	2154	1873	1765	1874	1754	1852
GNB1	9467	9530	9307	8430	9031	5876	11137	9693	8203	8855	8817	9389
GNB1-DT	28	17	18	8	14	18	19	23	15	16	10	21
LOC124903822	14	9	5	15	12	5	12	2	19	5	7	12
CALML6	3	26	10	5	16	8	21	7	4	10	18	1
TMEM52	325	337	378	330	306	175	348	318	453	305	300	294
CFAP74	22	36	45	15	18	22	19	32	29	26	27	11
LOC107984872	0	1	0	3	0	1	3	0	0	0	0	3
LOC105378589	1	0	0	0	2	0	0	0	0	0	0	5
GABRD	1	4	2	5	9	1	2	5	8	0	3	6
LOC105378590	50	45	74	39	69	34	85	64	41	59	62	55
PRKCZ	1845	2090	1957	1684	1906	1121	2449	2078	1543	1917	1785	1796
PRKCZ-DT	2	3	0	0	3	1	1	0	0	2	3	3
PRKCZ-AS1	96	149	159	97	80	63	119	70	86	88	70	77
FAAP20	956	808	909	729	786	401	922	722	1047	771	788	1065
LOC112268219	99	128	116	62	109	50	87	95	111	76	61	107
LOC105378593	3	5	6	2	6	5	6	21	14	6	6	0
LOC124903823	0	0	2	0	0	2	0	0	0	0	0	0
SKI	2056	2120	2237	1839	2036	1324	2386	2196	1606	2013	1992	1926
LOC124903824	28	41	28	25	29	22	30	16	27	23	36	36
MORN1	114	127	83	78	99	76	114	100	79	110	95	126
LOC100129534	25	20	24	25	18	17	24	16	43	9	18	18
RER1	2123	2311	2270	1903	2267	1425	2637	2331	2375	2094	2327	2303
PEX10	467	492	457	385	419	248	543	484	400	396	454	498
PLCH2	5	4	0	7	2	3	7	3	5	5	9	8
PANK4	0	0	0	0	0	0	0	0	0	0	0	0
HES5	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996583	0	0	0	0	0	0	0	0	0	0	0	0
PRXL2B	0	0	0	0	0	0	0	0	0	0	0	0
MMEL1	0	0	0	0	0	0	0	0	0	0	0	0
MMEL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	2	0	0	0	0	0	0	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	0	1	0
ACTRT2	0	0	0	0	0	0	0	3	0	0	0	0
LOC124903827	36	38	22	22	34	18	34	57	48	17	19	28
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	328	307	333	315	374	238	416	329	238	377	314	363
MIR4251	0	0	0	0	0	0	0	0	0	0	1	0
LOC105378606	0	0	0	0	0	0	0	0	0	6	1	8
LOC107984909	44	53	39	36	47	32	54	40	49	50	30	30
LOC105378605	0	6	2	0	0	0	0	2	0	0	1	5
LOC124903828	29	34	18	36	20	22	19	19	24	32	16	31
LOC105378604	21	19	19	10	13	10	17	14	8	12	23	9
ARHGEF16	2361	2643	2412	2143	2171	1261	2769	2324	2108	2300	2116	2190
MEGF6	656	702	697	488	570	364	702	669	569	595	517	675
LOC105378608	0	0	1	0	0	0	1	0	0	0	0	0
MIR551A	0	0	0	0	0	0	0	0	3	0	0	0
TPRG1L	2907	3075	3014	2657	3109	1891	3624	2945	3049	2849	2815	3073
WRAP73	533	528	570	448	483	292	638	559	693	418	474	549
TP73	408	420	408	347	352	268	489	402	335	369	373	410
TP73-AS3	0	0	1	0	4	0	4	2	1	2	1	6
TP73-AS2	0	0	0	1	0	0	0	0	0	0	1	4
GFOD3P	1	0	0	0	0	0	1	0	0	2	0	6
CCDC27	15	13	13	8	6	9	10	4	4	14	13	8
SMIM1	296	296	318	281	295	158	272	290	305	270	305	323
LRRC47	1888	2084	2107	1740	1857	1128	2279	2098	1980	1989	1920	2024
CEP104	891	966	981	757	1086	603	1263	1049	802	980	1002	1043
LOC124903829	20	21	15	8	12	7	33	24	12	36	19	22
DFFB	157	217	160	134	150	83	207	141	230	195	171	190
C1orf174	468	584	564	485	542	300	587	617	615	577	466	490
LINC01134	74	51	69	31	46	33	32	52	46	34	61	48
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	2	0	0	0	0	0	0	0
LINC02780	0	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376674	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904578	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	9	0	8	7	1	2	4	14	2	0	6	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904590	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900451	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	480	562	604	366	455	258	593	529	422	518	462	553
KCNAB2	1261	1423	1305	1222	1346	736	1505	1362	1289	1207	1172	1330
LOC124903831	22	11	8	9	14	11	21	11	14	28	12	16
CHD5	22	24	29	11	7	8	10	24	7	13	8	10
RPL22	12549	11249	11555	9621	11389	6792	14129	10938	12718	10083	9087	11438
RNF207-AS1	7	12	8	7	9	8	9	14	18	15	16	23
RNF207	347	518	479	307	345	245	556	509	520	376	375	371
ICMT	2754	2879	3032	2587	2901	1797	3553	2962	2354	2532	2592	3070
ICMT-DT	58	54	45	50	59	20	59	48	68	52	77	61
HES3	2	0	0	0	3	0	1	2	4	0	3	0
GPR153	281	257	321	225	306	203	293	310	286	305	322	353
ACOT7	3819	3720	3763	3501	3576	2006	4529	3811	3949	3752	3575	3809
HES2	22	33	29	23	35	18	25	25	14	31	35	18
ESPN	2501	2703	2920	2430	2681	1719	2899	2831	3108	2808	2738	2658
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	584	687	744	487	450	313	658	570	750	473	552	501
PLEKHG5	1218	1336	1343	1100	1232	747	1412	1386	962	1163	1122	1270
NOL9	528	575	556	470	554	359	670	641	696	525	550	600
TAS1R1	5	2	6	3	3	1	1	2	7	0	0	0
LOC107984912	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	568	610	587	511	437	342	638	566	785	493	510	559
KLHL21	1199	1353	1338	1113	1195	763	1411	1340	1095	1129	1250	1128
LOC107984913	13	3	9	9	18	6	9	19	1	3	4	26
PHF13	891	936	981	840	881	599	1136	912	794	913	1008	1072
THAP3	437	413	345	305	313	212	411	384	489	352	359	361
DNAJC11	1036	1075	1013	815	930	643	1164	1096	780	889	838	1066
LINC01672	0	0	0	0	0	0	0	0	5	0	2	0
LOC124904847	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	22	18	24	18	31	6	28	28	28	26	8	28
CAMTA1	1219	1191	1230	1084	1239	747	1432	1185	1400	1109	1020	1187
LOC124903832	20	32	26	32	19	23	42	41	65	49	46	10
CAMTA1-AS3	0	0	0	0	0	0	1	0	0	0	0	0
LOC124900385	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0	0	3
CAMTA1-AS1	0	0	0	0	0	0	0	0	0	0	0	5
LOC105376691	2	0	0	0	0	0	0	0	0	0	0	0
LOC105376689	241	341	333	217	258	175	350	248	303	245	232	301
VAMP3	4052	4159	4310	3733	4392	2945	5041	4237	3911	3733	3639	4005
PER3	1660	1842	1683	1284	1621	1008	2015	1725	1066	1467	1357	1554
LOC124903833	24	25	41	8	17	10	19	17	24	26	26	24
UTS2	13	21	20	13	29	9	26	7	23	13	13	25
TNFRSF9	88	117	76	91	99	48	135	122	84	125	92	62
PARK7	3851	3970	3651	3318	3574	2311	4615	3676	4604	3675	3539	3778
LOC124903834	16	30	28	24	19	16	34	35	46	46	41	26
ERRFI1	1256	1308	1388	1129	1283	798	1728	1496	1010	1363	1339	1653
ERRFI1-DT	7	21	18	26	12	14	32	14	22	42	28	31
LOC107984915	1	0	0	0	0	0	1	4	0	5	0	4
LINC01714	6	4	0	3	2	3	4	3	23	0	0	4
LOC105376695	0	1	2	0	0	1	0	0	0	0	1	0
LOC124903835	1	0	0	1	3	0	2	0	0	0	2	11
SLC45A1	2	2	3	5	6	3	5	1	1	6	2	4
RERE	4927	5275	5327	4429	4780	2981	5567	4755	4115	4998	4757	5021
RERE-AS1	1	1	1	0	2	0	2	7	2	5	1	0
SNORD128	2	2	0	0	0	0	0	0	0	0	0	0
LOC124900452	0	0	2	0	0	0	0	0	0	3	0	0
ENO1	35823	36645	34735	32300	34740	20720	45558	37437	38748	33667	33263	37481
MIR6728	0	0	1	0	0	0	1	0	0	0	0	0
ENO1-AS1	29	37	23	22	28	24	45	25	24	38	29	28
LOC112268261	3	4	9	5	4	3	8	7	28	19	9	2
CA6	1	0	0	0	0	0	0	0	0	0	0	0
SLC2A7	117	131	126	127	128	74	153	94	145	114	124	124
SLC2A5	15114	16386	14137	13924	14829	9198	17914	14512	14505	13732	13684	13474
LOC124900441	0	0	0	0	0	0	0	0	4	0	0	0
GPR157	4218	4798	4041	4060	4629	2896	6029	5075	4760	5159	5239	5243
MIR34AHG	375	581	510	322	340	303	455	460	597	312	289	306
MIR34A	0	0	0	0	0	0	0	0	0	0	0	0
LNCTAM34A	16	22	14	31	18	18	18	12	34	25	9	16
H6PD	3268	3446	3640	3222	3220	1923	3811	3331	2613	3231	3123	3106
LOC124903836	6	0	9	12	10	5	1	6	0	9	12	5
SPSB1	1273	1226	1239	1168	1158	759	1367	1202	1155	1219	1195	1280
LINC02606	11	3	9	5	5	10	14	5	10	15	8	16
SLC25A33	796	793	836	667	808	472	1032	786	831	793	750	828
TMEM201	649	633	695	540	591	400	751	724	646	654	637	648
LOC124903837	3	2	4	0	0	4	6	11	2	3	7	0
PIK3CD	144	125	123	118	125	86	149	137	96	144	93	149
LOC105376712	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD-AS1	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD-AS2	40	33	31	41	40	15	61	50	77	23	41	15
LOC124903839	0	1	0	0	0	0	0	0	0	0	3	0
CLSTN1	7894	8382	8711	7058	7800	5125	9335	8588	7433	8315	8158	8170
CTNNBIP1	789	772	848	708	814	501	919	846	690	734	687	785
LOC105376717	5	2	1	1	4	0	4	0	4	0	0	0
LOC124903838	3	5	5	2	1	2	15	5	18	1	8	8
LZIC	1641	1795	1751	1506	1742	1201	2073	1742	1547	1625	1632	1816
NMNAT1	366	415	397	368	434	247	549	449	488	421	366	482
TMEM274P	1	1	1	0	2	0	5	0	0	0	1	12
MIR5697	0	0	0	0	2	0	0	0	1	0	0	2
LOC124903840	0	0	1	0	0	0	0	0	0	0	0	0
RBP7	45	51	37	46	53	24	33	32	65	64	50	68
UBE4B	2430	2496	2693	2111	2587	1580	3276	2771	2118	2713	2541	2618
KIF1B	3909	3719	4048	3460	3974	2433	4766	3844	2246	4061	3923	4057
PGD	7195	7248	7539	6323	7047	4299	9152	7740	7413	6765	6455	6994
CENPS-CORT	0	0	0	0	1	1	0	0	6	0	1	0
CENPS	12	18	19	6	13	2	9	13	23	11	18	34
CORT	5	5	4	2	5	0	3	7	0	10	6	7
DFFA	3065	3209	3031	2528	2936	1739	3656	3030	3079	3115	2714	3038
PEX14	799	848	849	668	747	447	877	783	914	810	796	746
CASZ1	796	905	936	817	841	548	1040	858	556	970	898	808
LOC105376733	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376735	0	0	0	0	0	0	1	0	0	0	0	0
C1orf127	2	0	7	1	0	0	2	4	0	0	0	3
TARDBP	3609	3937	3906	3100	3601	2476	4580	3709	3356	3262	3014	3681
MASP2	124	130	130	93	104	84	109	113	122	133	78	82
SRM	1497	1504	1457	1138	1382	724	1588	1384	1872	1373	1205	1422
EXOSC10	2089	2151	2148	1788	2182	1292	2765	2176	2159	1915	1881	1930
EXOSC10-AS1	2	10	4	5	5	1	7	3	4	0	1	0
MTOR	2382	2748	2880	2131	2635	1610	3008	2644	1817	2751	2413	2698
MTOR-AS1	0	0	2	0	0	0	1	4	4	2	0	0
LOC124904848	0	0	0	1	0	0	0	0	0	0	0	0
ANGPTL7	2	3	1	2	0	1	1	1	0	8	3	0
UBIAD1	604	703	678	704	717	416	771	708	650	652	680	650
LOC105376737	0	0	3	0	0	0	0	0	0	0	1	0
LOC105376739	2	3	8	0	2	2	4	1	0	5	1	3
LOC105376740	2	2	2	1	6	4	1	2	7	0	0	0
LOC124903841	0	0	0	0	0	0	0	0	0	0	0	0
DISP3	28	19	19	9	16	18	25	26	23	15	22	12
LOC124903842	0	0	0	0	0	0	0	0	0	0	0	0
LINC01647	0	0	3	0	0	2	0	0	0	0	1	0
FBXO2	7994	8207	8258	7831	8307	4863	9349	8538	9707	8249	8698	8397
FBXO44	1555	1875	1995	1604	1571	1058	1855	1815	2253	1520	1697	1757
FBXO6	1892	1740	1933	1694	1732	1044	2153	1786	2027	1790	1832	1731
MAD2L2	1473	1394	1483	1228	1171	735	1764	1454	1655	1320	1301	1538
DRAXIN	10	10	8	4	2	4	7	6	4	1	3	15
AGTRAP	729	778	763	819	726	490	975	855	962	757	761	869
C1orf167	4	8	6	3	8	5	5	9	14	1	5	0
C1orf167-AS1	0	0	0	2	1	0	1	0	1	6	2	0
MTHFR	1364	1405	1473	1199	1373	816	1526	1341	1195	1444	1445	1401
CLCN6	1221	1478	1482	1140	1249	925	1614	1461	1209	1278	1290	1450
NPPA-AS1	13	31	18	22	14	6	26	30	24	7	10	6
NPPA	44	32	25	29	13	13	29	16	55	16	14	21
NPPB	114	132	110	88	114	68	138	119	111	123	118	152
RNU5E-1	0	0	0	0	0	0	1	0	0	0	0	0
LOC124903843	3	2	3	2	0	5	9	9	4	3	1	0
KIAA2013	5508	5922	5648	5392	5527	3189	6721	5935	5627	5969	5800	5967
PLOD1	5602	5936	5760	5195	5571	3364	6649	6203	5742	6016	5861	6391
MFN2	7834	8392	8486	7107	7714	5011	9644	8322	6315	7606	7490	7926
MIIP	1228	1275	1338	1195	1278	716	1559	1369	1617	1253	1227	1310
MIR6729	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF8	0	1	1	1	1	0	0	1	2	0	0	0
MIR7846	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1B	896	990	968	915	863	569	1083	1087	807	972	927	865
LOC124903844	1	4	3	3	5	0	4	0	3	3	2	0
MIR4632	0	0	0	0	0	0	0	0	0	0	0	0
VPS13D	1908	2003	2002	1753	1831	1131	2305	1913	1220	2000	1951	2031
LOC124903845	5	0	1	6	0	0	4	0	0	0	0	0
SNORA59A	13	10	12	8	1	5	1	7	12	13	9	0
LINC02766	5	10	12	10	11	4	8	12	8	17	3	6
DHRS3	2833	2930	3001	2371	2647	1708	3105	2650	3237	2843	2816	2851
MIR6730	0	3	6	0	3	1	1	5	11	3	1	4
AADACL4	0	0	0	0	0	0	0	0	0	2	0	0
LOC124903846	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	1	0	0	0	0	0	0	0	0	0
LOC124904811	0	0	0	0	0	0	0	0	0	0	0	0
CFAP107	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF36P	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724856	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984918	0	0	0	0	0	0	0	0	0	0	0	0
PDPN	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378612	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376756	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900446	0	0	0	0	1	0	0	0	0	0	0	0
PRDM2	955	968	1112	877	913	630	1155	1044	746	997	870	985
KAZN	95	95	133	108	118	61	120	116	92	89	92	133
LOC107985467	8	4	4	12	4	1	8	6	19	6	8	11
LOC124903847	0	4	2	2	5	1	3	6	0	2	0	1
KAZN-AS1	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903850	0	2	1	2	0	4	7	7	2	0	4	0
LOC105376759	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903848	1	1	0	0	2	0	0	4	0	0	1	0
LOC107985469	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903849	0	0	0	0	0	0	0	0	0	0	0	0
TMEM51-AS1	52	53	57	33	36	42	58	52	37	41	50	54
TMEM51	946	940	1008	813	902	626	1091	889	1038	891	910	1056
TMEM51-AS2	3	2	2	2	1	3	1	0	12	1	12	0
FHAD1	4	10	2	0	0	0	12	4	8	8	2	0
LOC124903853	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903852	0	0	0	0	0	0	0	0	0	0	0	0
FHAD1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903851	0	0	0	0	0	0	0	0	3	0	0	0
EFHD2-AS1	7	0	3	3	0	0	8	0	0	0	0	1
EFHD2	1502	1609	1600	1420	1484	931	1809	1688	1431	1648	1485	1360
CTRC	0	4	1	0	0	0	2	4	0	0	0	0
CELA2A	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376767	0	0	0	0	3	2	0	5	0	7	0	0
CELA2B	4	16	11	7	3	2	17	2	4	8	6	6
CASP9	386	384	374	447	472	247	461	424	461	385	345	292
DNAJC16	784	895	821	712	853	601	1014	1025	710	929	772	911
SCARNA21B	0	2	0	0	0	0	2	0	1	0	0	0
AGMAT	3557	3677	3568	3231	3348	1980	4092	3421	3525	3348	3109	3522
LOC124903854	2	10	0	0	7	2	0	4	7	3	0	0
DDI2	3140	3211	3379	2796	2945	1985	3631	2932	2076	2956	2851	3115
RSC1A1	6	0	1	0	0	2	2	2	2	0	2	3
PLEKHM2	2010	1932	1943	1688	1745	1166	2215	1760	1648	1803	2013	1913
SLC25A34	22	26	17	15	27	20	25	7	44	32	27	27
SLC25A34-AS1	0	3	1	1	1	4	1	5	0	1	3	0
TMEM82	939	1067	1089	922	1031	583	1145	1039	1247	950	1082	1037
FBLIM1	528	639	575	521	637	307	606	518	668	501	583	559
UQCRHL	71	77	77	71	51	49	83	56	93	77	50	92
SPEN-AS1	122	115	120	80	109	48	134	106	128	122	99	100
